Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,UDI
L52268,L,304.0,313.1,1465.0,41.0,69.0,0,0.0,0.0,0.0,0.0,0.0,
M19949,M,303.9,313.1,1483.0,47.2,71.0,0,0.0,0.0,0.0,0.0,0.0,
M19950,M,303.9,313.2,1570.0,40.7,74.0,0,0.0,0.0,0.0,0.0,0.0,
L52271,L,303.9,313.2,1345.0,48.2,77.0,0,0.0,0.0,0.0,0.0,0.0,
M19952,M,303.9,313.2,1608.0,40.6,79.0,0,0.0,0.0,0.0,0.0,0.0,
M19953,M,304.0,313.3,1415.0,52.8,82.0,0,0.0,0.0,0.0,0.0,0.0,
M19954,M,304.1,313.5,1470.0,45.8,85.0,0,0.0,0.0,0.0,0.0,0.0,
M19955,M,304.1,313.5,1428.0,39.9,88.0,0,0.0,0.0,0.0,0.0,0.0,
H34510,H,304.2,313.5,1627.0,32.2,91.0,0,0.0,0.0,0.0,0.0,0.0,
L52277,L,304.2,313.4,1457.0,49.4,96.0,0,0.0,0.0,0.0,0.0,0.0,
L52278,L,304.2,313.4,1475.0,40.2,98.0,0,0.0,0.0,0.0,0.0,0.0,
L52279,L,304.2,313.5,1438.0,50.1,100.0,0,0.0,0.0,0.0,0.0,0.0,
M19960,M,304.2,313.5,1437.0,47.2,102.0,0,0.0,0.0,0.0,0.0,0.0,
M19961,M,304.1,313.4,1518.0,42.4,105.0,0,0.0,0.0,0.0,0.0,0.0,
M19962,M,304.1,313.5,1587.0,33.6,108.0,0,0.0,0.0,0.0,0.0,0.0,
L52283,L,304.1,313.4,1399.0,43.7,111.0,0,0.0,0.0,0.0,0.0,0.0,
L52284,L,304.1,313.5,1469.0,44.6,113.0,0,0.0,0.0,0.0,0.0,0.0,
L52285,L,304.1,313.4,1374.0,56.6,115.0,0,0.0,0.0,0.0,0.0,0.0,
L52286,L,304.0,313.3,1519.0,36.7,117.0,0,0.0,0.0,0.0,0.0,0.0,
L52287,L,303.9,313.2,1540.0,44.4,119.0,0,0.0,0.0,0.0,0.0,0.0,
L52288,L,303.9,313.3,1394.0,51.6,121.0,0,0.0,0.0,0.0,0.0,0.0,
M19969,M,304.0,313.4,1389.0,45.8,123.0,0,0.0,0.0,0.0,0.0,0.0,
M19970,M,304.0,313.5,1732.0,26.2,126.0,0,0.0,0.0,0.0,0.0,0.0,
L52291,L,304.1,313.6,1556.0,37.4,129.0,0,0.0,0.0,0.0,0.0,0.0,
M19972,M,304.1,313.6,1441.0,43.7,131.0,0,0.0,0.0,0.0,0.0,0.0,
L52293,L,304.1,313.6,1382.0,46.7,134.0,0,0.0,0.0,0.0,0.0,0.0,
M19974,M,304.2,313.8,1481.0,44.9,136.0,0,0.0,0.0,0.0,0.0,0.0,
M19975,M,304.2,313.7,2113.0,18.4,139.0,0,0.0,0.0,0.0,0.0,0.0,
L52296,L,304.2,313.8,1401.0,53.9,142.0,0,0.0,0.0,0.0,0.0,0.0,
L52297,L,304.1,313.6,1611.0,31.4,144.0,0,0.0,0.0,0.0,0.0,0.0,
M19978,M,304.2,313.6,1512.0,33.4,146.0,0,0.0,0.0,0.0,0.0,0.0,
L52299,L,304.2,313.6,1411.0,46.0,149.0,0,0.0,0.0,0.0,0.0,0.0,
M19980,M,304.2,313.6,1424.0,43.7,151.0,0,0.0,0.0,0.0,0.0,0.0,
L52301,L,304.2,313.6,1469.0,40.0,154.0,0,0.0,0.0,0.0,0.0,0.0,
H34536,H,304.2,313.5,1684.0,29.8,156.0,0,0.0,0.0,0.0,0.0,0.0,
M19983,M,304.2,313.5,1532.0,41.3,161.0,0,0.0,0.0,0.0,0.0,0.0,
M19984,M,304.2,313.5,1557.0,37.3,164.0,0,0.0,0.0,0.0,0.0,0.0,
M19985,M,304.3,313.5,1416.0,48.1,167.0,0,0.0,0.0,0.0,0.0,0.0,
L52306,L,304.3,313.5,1802.0,25.4,170.0,0,0.0,0.0,0.0,0.0,0.0,
M19987,M,304.3,313.5,2245.0,15.1,172.0,0,0.0,0.0,0.0,0.0,0.0,
L52308,L,304.2,313.4,1434.0,42.5,175.0,0,0.0,0.0,0.0,0.0,0.0,
M19989,M,304.1,313.3,1725.0,28.3,177.0,0,0.0,0.0,0.0,0.0,0.0,
L52310,L,304.2,313.3,1668.0,35.7,180.0,0,0.0,0.0,0.0,0.0,0.0,
L52311,L,304.1,313.3,1452.0,43.9,182.0,0,0.0,0.0,0.0,0.0,0.0,
L52312,L,304.1,313.3,1415.0,50.0,184.0,0,0.0,0.0,0.0,0.0,0.0,
L52313,L,304.1,313.2,1824.0,25.8,186.0,0,0.0,0.0,0.0,0.0,0.0,
L52314,L,304.1,313.3,1438.0,45.5,188.0,0,0.0,0.0,0.0,0.0,0.0,
L52315,L,304.1,313.3,1883.0,24.5,190.0,0,0.0,0.0,0.0,0.0,0.0,
L52316,L,304.2,313.4,1735.0,28.9,192.0,0,0.0,0.0,0.0,0.0,0.0,
L52317,L,304.3,313.5,1464.0,36.7,194.0,0,0.0,0.0,0.0,0.0,0.0,
M19998,M,304.3,313.6,1489.0,40.3,196.0,0,0.0,0.0,0.0,0.0,0.0,
M19999,M,304.4,313.6,1510.0,38.9,199.0,0,0.0,0.0,0.0,0.0,0.0,
M20000,M,304.3,313.6,1585.0,32.1,202.0,0,0.0,0.0,0.0,0.0,0.0,
L52321,L,304.4,313.7,1509.0,35.0,205.0,1,1.0,0.0,0.0,0.0,0.0,
L52322,L,304.4,313.6,1568.0,39.1,0.0,0,0.0,0.0,0.0,0.0,0.0,
M20003,M,304.3,313.5,1525.0,42.0,2.0,0,0.0,0.0,0.0,0.0,0.0,
L52324,L,304.4,313.7,1607.0,33.5,5.0,0,0.0,0.0,0.0,0.0,0.0,
L52325,L,304.5,313.7,1670.0,32.9,7.0,0,0.0,0.0,0.0,0.0,0.0,
L52326,L,304.4,313.6,1585.0,38.9,9.0,0,0.0,0.0,0.0,0.0,0.0,
L52327,L,304.4,313.6,1569.0,38.4,11.0,0,0.0,0.0,0.0,0.0,0.0,
L52328,L,304.4,313.6,1507.0,43.1,13.0,0,0.0,0.0,0.0,0.0,0.0,
L52329,L,304.3,313.5,1452.0,41.5,15.0,0,0.0,0.0,0.0,0.0,0.0,
L52330,L,304.3,313.5,1590.0,29.8,17.0,0,0.0,0.0,0.0,0.0,0.0,
L52331,L,304.3,313.6,1409.0,56.0,19.0,0,0.0,0.0,0.0,0.0,0.0,
L52332,L,304.3,313.5,2643.0,12.7,21.0,0,0.0,0.0,0.0,0.0,0.0,
L52333,L,304.2,313.4,1644.0,31.7,23.0,0,0.0,0.0,0.0,0.0,0.0,
L52334,L,304.2,313.4,1568.0,37.6,25.0,0,0.0,0.0,0.0,0.0,0.0,
H34569,H,304.2,313.3,1625.0,37.3,27.0,0,0.0,0.0,0.0,0.0,0.0,
L52336,L,304.2,313.4,1482.0,41.4,32.0,0,0.0,0.0,0.0,0.0,0.0,
H34571,H,304.1,313.3,1397.0,49.6,34.0,0,0.0,0.0,0.0,0.0,0.0,
L52338,L,304.1,313.3,1459.0,50.3,39.0,0,0.0,0.0,0.0,0.0,0.0,
L52339,L,304.2,313.4,1490.0,44.0,41.0,0,0.0,0.0,0.0,0.0,0.0,
L52340,L,304.1,313.2,1434.0,50.1,43.0,0,0.0,0.0,0.0,0.0,0.0,
M20021,M,304.1,313.2,2028.0,18.9,45.0,0,0.0,0.0,0.0,0.0,0.0,
L52342,L,304.2,313.3,1464.0,45.9,48.0,0,0.0,0.0,0.0,0.0,0.0,
M20023,M,304.2,313.4,1713.0,23.5,50.0,0,0.0,0.0,0.0,0.0,0.0,
M20024,M,304.3,313.4,1624.0,32.1,53.0,0,0.0,0.0,0.0,0.0,0.0,
L52345,L,304.2,313.4,1421.0,43.4,56.0,0,0.0,0.0,0.0,0.0,0.0,
H34580,H,304.2,313.5,1546.0,41.4,58.0,0,0.0,0.0,0.0,0.0,0.0,
L52347,L,304.2,313.4,1639.0,32.7,63.0,0,0.0,0.0,0.0,0.0,0.0,
H34582,H,304.1,313.4,1696.0,29.6,65.0,0,0.0,0.0,0.0,0.0,0.0,
L52349,L,304.1,313.3,1470.0,39.9,70.0,0,0.0,0.0,0.0,0.0,0.0,
M20030,M,304.1,313.3,1480.0,38.4,72.0,0,0.0,0.0,0.0,0.0,0.0,
M20031,M,304.2,313.4,1329.0,54.5,75.0,0,0.0,0.0,0.0,0.0,0.0,
L52352,L,304.2,313.4,1740.0,28.2,78.0,0,0.0,0.0,0.0,0.0,0.0,
M20033,M,304.2,313.5,1739.0,28.1,80.0,0,0.0,0.0,0.0,0.0,0.0,
M20034,M,304.2,313.5,1390.0,47.8,83.0,0,0.0,0.0,0.0,0.0,0.0,
L52355,L,304.2,313.4,1740.0,23.7,86.0,0,0.0,0.0,0.0,0.0,0.0,
M20036,M,304.0,313.3,1844.0,27.1,88.0,0,0.0,0.0,0.0,0.0,0.0,
H34591,H,304.0,313.1,1388.0,53.2,91.0,0,0.0,0.0,0.0,0.0,0.0,
H34592,H,304.0,313.2,1517.0,43.1,96.0,0,0.0,0.0,0.0,0.0,0.0,
M20039,M,304.0,313.1,1450.0,42.8,101.0,0,0.0,0.0,0.0,0.0,0.0,
L52360,L,304.0,313.2,1584.0,38.7,104.0,0,0.0,0.0,0.0,0.0,0.0,
L52361,L,304.0,313.1,1720.0,28.7,106.0,0,0.0,0.0,0.0,0.0,0.0,
L52362,L,303.9,313.1,1586.0,31.9,108.0,0,0.0,0.0,0.0,0.0,0.0,
M20043,M,303.9,313.0,1901.0,22.5,110.0,0,0.0,0.0,0.0,0.0,0.0,
L52364,L,304.0,313.0,1397.0,42.4,113.0,0,0.0,0.0,0.0,0.0,0.0,
L52365,L,304.0,313.0,2012.0,21.1,115.0,0,0.0,0.0,0.0,0.0,0.0,
L52366,L,304.0,313.0,2354.0,15.0,117.0,0,0.0,0.0,0.0,0.0,0.0,
L52367,L,304.0,313.1,1648.0,35.7,119.0,0,0.0,0.0,0.0,0.0,0.0,
L52368,L,304.0,313.2,1632.0,30.6,121.0,0,0.0,0.0,0.0,0.0,0.0,
M20049,M,304.1,313.2,1427.0,46.9,123.0,0,0.0,0.0,0.0,0.0,0.0,
L52370,L,304.1,313.2,1452.0,48.0,126.0,0,0.0,0.0,0.0,0.0,0.0,
L52371,L,304.0,313.2,1416.0,46.0,128.0,0,0.0,0.0,0.0,0.0,0.0,
L52372,L,303.9,313.1,1310.0,62.9,130.0,0,0.0,0.0,0.0,0.0,0.0,
H34607,H,304.0,313.1,1408.0,39.8,132.0,0,0.0,0.0,0.0,0.0,0.0,
M20054,M,303.9,313.1,1668.0,34.4,137.0,0,0.0,0.0,0.0,0.0,0.0,
L52375,L,303.9,313.0,1551.0,36.8,140.0,0,0.0,0.0,0.0,0.0,0.0,
H34610,H,303.9,313.0,1517.0,36.0,142.0,0,0.0,0.0,0.0,0.0,0.0,
H34611,H,303.8,312.9,1570.0,35.8,147.0,0,0.0,0.0,0.0,0.0,0.0,
L52378,L,303.8,312.8,1428.0,53.3,152.0,0,0.0,0.0,0.0,0.0,0.0,
L52379,L,303.8,312.8,1503.0,40.0,154.0,0,0.0,0.0,0.0,0.0,0.0,
L52380,L,303.8,312.8,1416.0,58.7,156.0,0,0.0,0.0,0.0,0.0,0.0,
M20061,M,303.7,312.7,1396.0,47.3,158.0,0,0.0,0.0,0.0,0.0,0.0,
L52382,L,303.7,312.7,1335.0,51.1,161.0,0,0.0,0.0,0.0,0.0,0.0,
M20063,M,303.7,312.6,1671.0,30.5,163.0,0,0.0,0.0,0.0,0.0,0.0,
L52384,L,303.7,312.7,1989.0,22.4,166.0,0,0.0,0.0,0.0,0.0,0.0,
L52385,L,303.7,312.7,1468.0,43.3,168.0,0,0.0,0.0,0.0,0.0,0.0,
H34620,H,303.7,312.6,1711.0,27.6,170.0,0,0.0,0.0,0.0,0.0,0.0,
M20067,M,303.8,312.7,1488.0,41.3,175.0,0,0.0,0.0,0.0,0.0,0.0,
L52388,L,303.8,312.7,1664.0,29.3,178.0,0,0.0,0.0,0.0,0.0,0.0,
M20069,M,303.8,312.7,1507.0,38.5,180.0,0,0.0,0.0,0.0,0.0,0.0,
L52390,L,303.7,312.6,1466.0,42.5,183.0,0,0.0,0.0,0.0,0.0,0.0,
L52391,L,303.7,312.5,1433.0,53.6,185.0,0,0.0,0.0,0.0,0.0,0.0,
L52392,L,303.7,312.5,1397.0,45.7,187.0,0,0.0,0.0,0.0,0.0,0.0,
M20073,M,303.7,312.6,1429.0,43.3,189.0,0,0.0,0.0,0.0,0.0,0.0,
L52394,L,303.7,312.7,1572.0,37.2,192.0,0,0.0,0.0,0.0,0.0,0.0,
M20075,M,303.7,312.7,1532.0,42.7,194.0,0,0.0,0.0,0.0,0.0,0.0,
M20076,M,303.7,312.7,1316.0,51.8,197.0,0,0.0,0.0,0.0,0.0,0.0,
M20077,M,303.8,312.8,1420.0,47.9,200.0,0,0.0,0.0,0.0,0.0,0.0,
L52398,L,303.8,312.9,1589.0,37.2,203.0,0,0.0,0.0,0.0,0.0,0.0,
L52399,L,303.8,313.0,1365.0,59.9,205.0,1,0.0,0.0,0.0,1.0,0.0,
L52400,L,303.8,313.0,1633.0,32.9,207.0,0,0.0,0.0,0.0,0.0,0.0,
L52401,L,303.9,313.0,1626.0,31.4,209.0,0,0.0,0.0,0.0,0.0,0.0,
L52402,L,303.9,313.1,1665.0,29.6,0.0,0,0.0,0.0,0.0,0.0,0.0,
M20083,M,303.9,313.2,1350.0,47.2,2.0,0,0.0,0.0,0.0,0.0,0.0,
L52404,L,303.9,313.2,1590.0,31.9,5.0,0,0.0,0.0,0.0,0.0,0.0,
M20085,M,304.0,313.2,1437.0,53.9,7.0,0,0.0,0.0,0.0,0.0,0.0,
L52406,L,303.9,313.0,1403.0,48.3,10.0,0,0.0,0.0,0.0,0.0,0.0,
L52407,L,303.9,313.1,1440.0,41.1,12.0,0,0.0,0.0,0.0,0.0,0.0,
M20088,M,303.9,313.1,1343.0,61.4,14.0,0,0.0,0.0,0.0,0.0,0.0,
H34643,H,303.9,313.1,1790.0,26.7,17.0,0,0.0,0.0,0.0,0.0,0.0,
M20090,M,303.8,313.1,2117.0,18.6,22.0,0,0.0,0.0,0.0,0.0,0.0,
L52411,L,303.8,313.1,1458.0,42.2,25.0,0,0.0,0.0,0.0,0.0,0.0,
L52412,L,303.6,312.9,1381.0,57.8,27.0,0,0.0,0.0,0.0,0.0,0.0,
L52413,L,303.6,312.9,1450.0,45.3,29.0,0,0.0,0.0,0.0,0.0,0.0,
L52414,L,303.7,312.9,1461.0,50.1,31.0,0,0.0,0.0,0.0,0.0,0.0,
M20095,M,303.7,312.9,1511.0,41.0,33.0,0,0.0,0.0,0.0,0.0,0.0,
L52416,L,303.8,313.1,1394.0,45.4,36.0,0,0.0,0.0,0.0,0.0,0.0,
L52417,L,303.8,313.0,1499.0,42.3,38.0,0,0.0,0.0,0.0,0.0,0.0,
L52418,L,303.7,313.0,1457.0,44.1,40.0,0,0.0,0.0,0.0,0.0,0.0,
L52419,L,303.7,313.0,1753.0,29.0,42.0,0,0.0,0.0,0.0,0.0,0.0,
L52420,L,303.7,313.0,1694.0,28.0,44.0,0,0.0,0.0,0.0,0.0,0.0,
L52421,L,303.7,313.1,1683.0,28.4,46.0,0,0.0,0.0,0.0,0.0,0.0,
L52422,L,303.7,313.1,1496.0,47.4,48.0,0,0.0,0.0,0.0,0.0,0.0,
L52423,L,303.7,313.1,1721.0,34.8,50.0,0,0.0,0.0,0.0,0.0,0.0,
L52424,L,303.6,313.0,1593.0,31.6,52.0,0,0.0,0.0,0.0,0.0,0.0,
L52425,L,303.6,313.0,1575.0,38.3,54.0,0,0.0,0.0,0.0,0.0,0.0,
L52426,L,303.5,313.0,1465.0,41.0,56.0,0,0.0,0.0,0.0,0.0,0.0,
L52427,L,303.6,313.1,1405.0,38.3,58.0,0,0.0,0.0,0.0,0.0,0.0,
M20108,M,303.5,313.0,1902.0,21.6,60.0,0,0.0,0.0,0.0,0.0,0.0,
M20109,M,303.4,312.9,1422.0,39.9,63.0,0,0.0,0.0,0.0,0.0,0.0,
L52430,L,303.5,312.9,1332.0,52.9,66.0,0,0.0,0.0,0.0,0.0,0.0,
M20111,M,303.4,312.9,1307.0,54.3,68.0,0,0.0,0.0,0.0,0.0,0.0,
L52432,L,303.5,313.0,1322.0,59.5,71.0,0,0.0,0.0,0.0,0.0,0.0,
L52433,L,303.5,313.0,1547.0,40.3,73.0,0,0.0,0.0,0.0,0.0,0.0,
L52434,L,303.5,313.1,1897.0,23.6,75.0,0,0.0,0.0,0.0,0.0,0.0,
M20115,M,303.5,313.0,1403.0,51.9,77.0,0,0.0,0.0,0.0,0.0,0.0,
L52436,L,303.5,313.0,1393.0,51.6,80.0,0,0.0,0.0,0.0,0.0,0.0,
L52437,L,303.5,313.0,1482.0,38.5,82.0,0,0.0,0.0,0.0,0.0,0.0,
M20118,M,303.5,312.9,1572.0,44.7,84.0,0,0.0,0.0,0.0,0.0,0.0,
L52439,L,303.5,312.9,1544.0,36.9,87.0,0,0.0,0.0,0.0,0.0,0.0,
M20120,M,303.5,313.0,1492.0,46.1,89.0,0,0.0,0.0,0.0,0.0,0.0,
L52441,L,303.4,312.8,1513.0,35.8,92.0,0,0.0,0.0,0.0,0.0,0.0,
L52442,L,303.4,312.8,1449.0,43.9,94.0,0,0.0,0.0,0.0,0.0,0.0,
L52443,L,303.5,312.8,1877.0,22.3,96.0,0,0.0,0.0,0.0,0.0,0.0,
L52444,L,303.4,312.8,1376.0,53.4,98.0,0,0.0,0.0,0.0,0.0,0.0,
M20125,M,303.5,312.9,1883.0,23.3,100.0,0,0.0,0.0,0.0,0.0,0.0,
M20126,M,303.4,312.8,1518.0,38.7,103.0,0,0.0,0.0,0.0,0.0,0.0,
M20127,M,303.5,312.9,1438.0,42.8,106.0,0,0.0,0.0,0.0,0.0,0.0,
L52448,L,303.4,312.9,1389.0,54.1,109.0,0,0.0,0.0,0.0,0.0,0.0,
L52449,L,303.5,312.9,1504.0,44.8,111.0,0,0.0,0.0,0.0,0.0,0.0,
L52450,L,303.5,312.9,1275.0,64.4,113.0,0,0.0,0.0,0.0,0.0,0.0,
L52451,L,303.6,313.0,1534.0,39.7,115.0,0,0.0,0.0,0.0,0.0,0.0,
M20132,M,303.6,313.0,1396.0,38.2,117.0,0,0.0,0.0,0.0,0.0,0.0,
L52453,L,303.6,313.1,1395.0,44.1,120.0,0,0.0,0.0,0.0,0.0,0.0,
L52454,L,303.6,313.0,1617.0,30.9,122.0,0,0.0,0.0,0.0,0.0,0.0,
L52455,L,303.7,313.1,1423.0,41.2,124.0,0,0.0,0.0,0.0,0.0,0.0,
